location,decibel,goal,playlist,mood,bpm,energy,vocal,genre
office,50,active,Electronic Focus Boost,upbeat,110,0.65,with_vocal,electronic
office,50,active,Flowstate EDM,upbeat,112,0.68,with_vocal,electronic
office,55,active,Electronic Focus Boost,upbeat,115,0.7,with_vocal,electronic
office,63,active,Productive Pop,energetic,118,0.75,with_vocal,pop
office,63,reading,Piano Calm,soft,60,0.3,instrumental,piano
office,64,reading,Piano Calm,soft,60,0.3,instrumental,piano
office,40,neutral,Neutral Soundscape,neutral,62,0.33,instrumental,ambient
office,65,neutral,Neutral Soundscape,neutral,62,0.33,instrumental,ambient
office,85,neutral,Neutral Soundscape,neutral,62,0.33,instrumental,ambient
outdoor,64,focus,Lo-Fi Beats,calm,80,0.45,instrumental,lofi
outdoor,73,focus,Lo-Fi Beats,calm,85,0.5,instrumental,lofi
outdoor,52,relax,Ambient Journey,chill,65,0.35,instrumental,ambient
outdoor,58,relax,Nature Calm,calm,60,0.3,instrumental,nature
outdoor,72,relax,Acoustic Chill,chill,72,0.42,with_vocal,acoustic
outdoor,95,relax,Brown Noise Mask,noise-masking,55,0.35,instrumental,brown_noise
outdoor,63,meditate,Deep Meditative Drones,serene,60,0.25,instrumental,drone
outdoor,60,sleep,Sleep Tones,soothing,55,0.2,instrumental,sleep
outdoor,65,active,Electronic Focus Boost,upbeat,115,0.7,with_vocal,electronic
outdoor,80,reading,Ambient Essentials,soft,65,0.35,instrumental,lofi
outdoor,40,neutral,Neutral Soundscape,neutral,62,0.33,instrumental,ambient
outdoor,65,neutral,Neutral Soundscape,neutral,62,0.33,instrumental,ambient
outdoor,85,neutral,Neutral Soundscape,neutral,62,0.33,instrumental,ambient
home,55,focus,Lo-Fi Beats,calm,80,0.45,instrumental,lofi
home,62,focus,Lo-Fi Beats,calm,80,0.45,instrumental,lofi
home,48,relax,Ambient Journey,chill,65,0.35,instrumental,ambient
home,64,relax,Ambient Journey,chill,65,0.35,instrumental,ambient
home,49,meditate,Deep Meditative Drones,serene,60,0.25,instrumental,drone
home,30,sleep,Rain On Window,soothing,55,0.2,instrumental,rain
home,42,sleep,White Noise Night,soothing,55,0.2,instrumental,white_noise
home,56,sleep,Sleep Tones,soothing,55,0.2,instrumental,sleep
home,56,sleep,Rain On Window,soothing,55,0.22,instrumental,rain
home,63,sleep,Sleep Tones,soothing,55,0.2,instrumental,sleep
home,64,active,Electronic Focus Boost,upbeat,115,0.7,with_vocal,electronic
home,46,reading,Piano Calm,soft,60,0.3,instrumental,piano
home,40,neutral,Neutral Soundscape,neutral,62,0.33,instrumental,ambient
home,65,neutral,Ambient Essentials,neutral,60,0.32,instrumental,ambient
home,85,neutral,Neutral Soundscape,neutral,62,0.33,instrumental,ambient
