query_id,gpt_query,intent_context,mean_sim,best_sim,p_at_k,hallucinated,top_examples
Q011,night meditation deep sleep,"library, silent, sleep",0.5362,0.6963,0.5,True,"[{""rank"": 1, ""id"": ""7M8Tf33Y0bpbDgYCXwh6AB"", ""type"": ""track"", ""sim"": 0.6963, ""text"": ""Deep Night Silence by Relaxing Sleep Club album Deep Sleep and Stress Relief""}, {""rank"": 2, ""id"": ""4ikhF7qyaB7MjaT6knCHPi"", ""type"": ""track"", ""sim"": 0.6797, ""text"": ""Breath Exercises for Deep Sleep by Natural Meditation Guru album Sleep Meditation – Bedtime Mindfulness, Evening Prayers, Calming New Age Music, Falling Asleep, Spiritual Night, Sweet Dreams, Deep Sta""}, {""rank"": 3, ""id"": ""1oqVNfvwDiaIUgi1jKuhFV"", ""type"": ""playlist"", ""sim"": 0.6399, ""text"": ""Sleep / Good night / Deep meditation by Mor Ben Yakir""}]"
Q012,energetic workout pop edm,"gym, loud, active",0.4766,0.6863,0.2,True,"[{""rank"": 1, ""id"": ""40d3ceIUf7R7xzVWerX6LX"", ""type"": ""track"", ""sim"": 0.6863, ""text"": ""Energetic Pop Workout by EDM, Workout Music, WORKOUT album Workout Music for Gym Motivation""}, {""rank"": 2, ""id"": ""0TCHd6ccany4T3djdHjKRh"", ""type"": ""track"", ""sim"": 0.6306, ""text"": ""Popping RnB by Pink Shark Music, Electronic Workout, Give Me Energy!, Power Workout EDM album Upbeat Energetic Urban Pop Vol. 1""}, {""rank"": 3, ""id"": ""2Rk5wgQwvFdrNXLXNKgJgA"", ""type"": ""track"", ""sim"": 0.5777, ""text"": ""Limelight Fame by Pink Shark Music, Electronic Workout, Give Me Energy!, Power Workout EDM album Upbeat Energetic Urban Pop Vol. 1""}]"
Q013,morning running motivation,"park, loud, active",0.514,0.7501,0.4,True,"[{""rank"": 1, ""id"": ""3Mq3lD3rpoQ2LjiLBKMT3p"", ""type"": ""playlist"", ""sim"": 0.7501, ""text"": ""Running morning motivation by Ambar Singha""}, {""rank"": 2, ""id"": ""4j93dScJ2CeNQhRNWhMvA8"", ""type"": ""track"", ""sim"": 0.6991, ""text"": ""Morning Fast Run by Running Music Ensemble album Running Motivation Beats: Chillout for Running, Music for Running""}, {""rank"": 3, ""id"": ""7fjlhVyCndqvg9KdHTAKa2"", ""type"": ""track"", ""sim"": 0.6737, ""text"": ""Morning Runner by Running Workout Lab album Running Workout Motivation 175 Bpm""}]"
Q014,cardio boost playlist,"moving, loud, active",0.513,0.6237,0.3,True,"[{""rank"": 1, ""id"": ""5yNG6BdNFo5IHqLnHopCxq"", ""type"": ""track"", ""sim"": 0.6237, ""text"": ""Endurance Boost (130 BPM) [Dance Aerobic Running Jumping Cycling Jogging Aerobics Treadmill] by Blue Claw Fitness album Cardio Workout Music Playlist (Warm Up Interval Cooldown Mix) [Feat. Fitness Ins""}, {""rank"": 2, ""id"": ""6azJv1JEnhrusGWVX6pVYC"", ""type"": ""track"", ""sim"": 0.6115, ""text"": ""Boost It Harder, Pt. 12 (131 BPM Cardio Trance Power Edit) by Workout Trance album Workout Playlist 2020 Trance""}, {""rank"": 3, ""id"": ""5NyCbEWoj5Hh83yQq0kkrv"", ""type"": ""playlist"", ""sim"": 0.6025, ""text"": ""Workout Music 2025 💥 Gym Motivation, Cardio Beats & Power Lifting Tracks The ultimate workout playlist of 2025! Boost your gym session with high-energy beats, cardio music, powerlifting tracks, and mo""}]"
Q015,driving upbeat hits,"moving, moderate, active",0.4106,0.7532,0.1,True,"[{""rank"": 1, ""id"": ""2x0r3cXTXm7CehK1lStHTs"", ""type"": ""playlist"", ""sim"": 0.7532, ""text"": ""Driving Upbeat Hits 2000s-2015 by wildershit""}, {""rank"": 2, ""id"": ""5HS8QQ4vT5QNLuZR54PTUS"", ""type"": ""playlist"", ""sim"": 0.5146, ""text"": ""Indie That Hits Right Upbeat indie music good for workouts, driving, dinner parties and just having fun! Updated weekly. Follow me on IG and TikTok @tomwardofficial by @tomwardofficial""}, {""rank"": 3, ""id"": ""5I7bruwqJ4VFn0c90E68Wj"", ""type"": ""playlist"", ""sim"": 0.4113, ""text"": ""ROAD TRIP HITS 2025 🚗 BEST SONGS FOR TRAVEL 🎶 SUMMER DRIVE PLAYLIST Turn up the volume and enjoy the best road trip songs of 2025 with upbeat hits, travel music, summer driving anthems, pop rock, part""}]"
Q016,heavy metal anger release,"gym, very_loud, anger",0.327,0.6001,0.1,True,"[{""rank"": 1, ""id"": ""4dmSC7FbDAV9Aj127407YL"", ""type"": ""playlist"", ""sim"": 0.6001, ""text"": ""Anger Release by Claudi""}, {""rank"": 2, ""id"": ""3oC5zDKtosk5RSDwhNL9aT"", ""type"": ""playlist"", ""sim"": 0.4331, ""text"": ""Anger relief healing by Lamont""}, {""rank"": 3, ""id"": ""2jl1Ie5tjAA4m2EHtWB27p"", ""type"": ""track"", ""sim"": 0.3905, ""text"": ""크게 라디오를 켜고 by Sinawe album Heavy Metal Sinawe""}]"
Q017,hard rock stress relief,"moving, loud, anger",0.47,0.5603,0.0,True,"[{""rank"": 1, ""id"": ""4fDUuSMxLu80JQivnVYzzn"", ""type"": ""playlist"", ""sim"": 0.5603, ""text"": ""Hard Rock Strength Training by George Sabol""}, {""rank"": 2, ""id"": ""77bXvBbeOsqGvmkim4XgVe"", ""type"": ""track"", ""sim"": 0.5324, ""text"": ""Power of Rock by Rock Destination Team album Rock Your Soul - Instrumental Rock, Background Music, Hard Rock & Soft Ballads, Relief for the Spirit, Anti Stress Music, Relaxation""}, {""rank"": 3, ""id"": ""49kyNq7zg1qCcczQEnRM0u"", ""type"": ""track"", ""sim"": 0.5319, ""text"": ""Rock It by Rock Destination Team album Rock Your Soul - Instrumental Rock, Background Music, Hard Rock & Soft Ballads, Relief for the Spirit, Anti Stress Music, Relaxation""}]"
Q018,rage playlist aggressive beats,"home, loud, anger",0.5359,0.6234,0.2,True,"[{""rank"": 1, ""id"": ""52OWRufMrpxRcv3Sy97A42"", ""type"": ""track"", ""sim"": 0.6234, ""text"": ""RAGE by scraizis album RAGE""}, {""rank"": 2, ""id"": ""3juVpfKNB7FvMjf70BLAD8"", ""type"": ""playlist"", ""sim"": 0.6092, ""text"": ""Psychopath Rage 🔥 Unleash chaos within. Aggressive phonk beats, dark slowed drops, and rage-fueled basslines to awaken your inner demon. 🎧 Headphones recommended. by Saurav""}, {""rank"": 3, ""id"": ""2RaVP9Z5HMy3UVrPs2A7k7"", ""type"": ""track"", ""sim"": 0.5951, ""text"": ""Rage by Jamini album Instrumental Pack, Vol. 1""}]"
Q019,comforting acoustic ballads,"home, quiet, consolation",0.3472,0.5549,0.0,True,"[{""rank"": 1, ""id"": ""5EKpsE9GaEfHrEhgfn1zrm"", ""type"": ""playlist"", ""sim"": 0.5549, ""text"": ""rain on the roof 60s &amp; 70s ballads 4 autumntide (comforting folk songs, october, november, fall, winter, calm, acoustic, sitting by the fireplace, on a rainy day, nostalgic, sad and melancholic, s""}, {""rank"": 2, ""id"": ""7ygocR2zpgynjLxDpjK6Za"", ""type"": ""playlist"", ""sim"": 0.4615, ""text"": ""LOVELY POP ❤️ The perfect soundtrack for love. 💖 Dive into the most emotional and comforting Pop Ballads, Romantic Indie, and Acoustic Pop hits. Whether it’s a quiet moment, a cozy drive, or a perfect""}, {""rank"": 3, ""id"": ""0LBeVhd82bHcyOc0SrIoig"", ""type"": ""track"", ""sim"": 0.3904, ""text"": ""Love Ballad by BROWN EYED SOUL album Browneyed Soul""}]"
Q020,warm indie songs for comfort,"cafe, moderate, consolation",0.4228,0.6013,0.1,True,"[{""rank"": 1, ""id"": ""1Qkt7D5x4XcI5mbONZ9wni"", ""type"": ""track"", ""sim"": 0.6013, ""text"": ""Warm Words Of Consolation by Jeong Hyeonseong album Comfortable Sleeping Piano Collection For Happy Dreams""}, {""rank"": 2, ""id"": ""7vanN3h5iH5GFJyp1MQJsS"", ""type"": ""track"", ""sim"": 0.5893, ""text"": ""Warm Vibes for Comfort by Herry FW album Warm Vibes for Comfort""}, {""rank"": 3, ""id"": ""1CFv3OxX00GseM1cYnLZKx"", ""type"": ""track"", ""sim"": 0.5789, ""text"": ""Warmth Wrapped in Whispers - Key E Ver. by The Velvet Chair album Comforting Instrumental Jazz for Christmas""}]"
Q021,soothing piano for heartbreak,"library, silent, consolation",0.4157,0.6808,0.2,True,"[{""rank"": 1, ""id"": ""18lxRKubQmLPFa88blUaEw"", ""type"": ""track"", ""sim"": 0.6808, ""text"": ""The Cure for Heartbreak (Relaxing Piano and Rain) by Sher Ali Khan album Relaxing, Soothing, Sleepy & Study Piano Music""}, {""rank"": 2, ""id"": ""3KYZeq8EknOGu6fodzG8EN"", ""type"": ""track"", ""sim"": 0.6553, ""text"": ""Melodies of a Distant Heartbreak by Heru Utama Putra album Harmony in Keys | soothing piano vibes for calm moments""}, {""rank"": 3, ""id"": ""7hEMfN5HgYLdVLM6Cb6oFg"", ""type"": ""track"", ""sim"": 0.5256, ""text"": ""Fall into Forbidden by Sad Music Zone album Melancholic Jazz Music Vol. 2 (Emotional Music, Heartbreaking That Make You Cry, Mellow Piano Songs, Soothing Melodies when U Feel Lost)""}]"
Q022,daily mix chill pop,"home, moderate, neutral",0.3734,0.6476,0.1,True,"[{""rank"": 1, ""id"": ""1ALtU39yddeYyLrDUdIcp3"", ""type"": ""playlist"", ""sim"": 0.6476, ""text"": ""Chill daily mix - luxe alt&#x2F;pop by luxeleisure""}, {""rank"": 2, ""id"": ""28frbp5EZZtmpGN7nGvOAM"", ""type"": ""playlist"", ""sim"": 0.5869, ""text"": ""CHILL SUMMER POP Your source of fun pop music for those that want a taste of summer! A mix of Pop, R&amp;B and Dream Pop. Updated Daily by pierref97""}, {""rank"": 3, ""id"": ""46PAnl2weFTfvLUdjfsqvc"", ""type"": ""playlist"", ""sim"": 0.5093, ""text"": ""Chill Out Tokyo (Daily Mixtape) Refreshed daily.Handpicked Alt-R&amp;B, Indie Pop, Alt-Folk, Electronica &amp; beyond. by ChillOutTokyo""}]"
Q023,morning commute playlist,"moving, moderate, neutral",0.459,0.69,0.3,True,"[{""rank"": 1, ""id"": ""1IiDWC78joj6Wl75Ar3CnC"", ""type"": ""track"", ""sim"": 0.69, ""text"": ""Work Commute by Jazz Morning Playlist album Lollipops""}, {""rank"": 2, ""id"": ""5cs0P2hgovfeW2qB2hE9Ku"", ""type"": ""track"", ""sim"": 0.6612, ""text"": ""Morning Commute by Monday Morning Jazz Playlist album Monday Morning Jazz""}, {""rank"": 3, ""id"": ""3coiYcCCv15Gn7I1cVVirG"", ""type"": ""track"", ""sim"": 0.6379, ""text"": ""Morning Commute by Yes Jazz, Soft Jazz Playlist, Jazz Playlist album No Such Thing""}]"
Q024,background pop hits,"co-warking, moderate, neutral",0.2857,0.4684,0.0,True,"[{""rank"": 1, ""id"": ""5kifHjeU7b0uY4yV9lhrby"", ""type"": ""track"", ""sim"": 0.4684, ""text"": ""Background Pop Music for Office by Popular Songs, Chill Pop Music, Instrumental Pop Cafe, Pop Music Background Instrumentals album Uplifting Pop Music Cafe Lounge For Study & Office Work (Instrumental""}, {""rank"": 2, ""id"": ""4FKIrAaB6lqH3oaToDKOUy"", ""type"": ""track"", ""sim"": 0.4205, ""text"": ""Lo-Fi Background Pop Vibe by Popular Songs, Chill Pop Music, Instrumental Pop Cafe, Pop Music Background Instrumentals album Uplifting Pop Music Cafe Lounge For Study & Office Work (Instrumental)""}, {""rank"": 3, ""id"": ""2dFYbLO2e91eiXispfv616"", ""type"": ""playlist"", ""sim"": 0.2754, ""text"": ""PIANO COVERS 2025 🎹 relaxing versions of popular songs Famous hits, peaceful songs &amp; pop music in a relaxed mix of calming instrumental remakes for background, quiz, sleeping, dining, studying, wo""}]"
Q025,ambient lounge tunes,"park, quiet, neutral",0.5861,0.696,0.6,True,"[{""rank"": 1, ""id"": ""0nmf8Pe1iVp90jQcgpGgeG"", ""type"": ""track"", ""sim"": 0.696, ""text"": ""Ambient Jazz Serenity by Jazz Lounge Music, trompette, Paris Cafe Ensemble album Jazz Lounge - Relaxing & Calming Ambient Jazz Music for Deep Focus, Relaxation, Concentration and Ambience""}, {""rank"": 2, ""id"": ""6lr9Dekwzy4kWECmWeewhl"", ""type"": ""track"", ""sim"": 0.6744, ""text"": ""Ambient Cafe by Tommy Grey album Chill Jazz Lounge (Bossa Nova Songs)""}, {""rank"": 3, ""id"": ""0FKZwP1L1TP0QX1QbZXPlN"", ""type"": ""playlist"", ""sim"": 0.6694, ""text"": ""AMBIENT CHILLOUT LOUNGE RELAXING MUSIC - Essential Relax Session 1 - Background Chill Out Music by BLUME""}]"
