location,behaviour,temperature,humidity,noise_db,light_intensity,motion_level
Cafe,studying,27.47,50.7,39.40434144,374.6619151,1.37
Study Room,studying,27.77,41.67,21.60273789,286.4155151,0.2
Dorm Room,sleeping,25.15,,25.02139238,150.2061679,3.8
Office,stressed,33.86,85.26,72.21277693,858.059433,2.78
Crowded place,stressed,26.49,59.95,74.61385765,918.6610192,8.56
Cafe,studying,31.76,57.77,66.13379776,408.2951198,-0.54
Bedroom,sleeping,27.37,59.87,26.50323898,87.76604949,0.05
Bedroom,sleeping,24.12,58.28,34.05046324,186.7679,1.48
Bedroom,sleeping,23.38,,40.9559421,152.9399677,1.41
Outdoor Campus,walking,30.02,71.03,79.80260605,542.4524076,8.69
Dorm Room,sleeping,28.1,70.54,30.86568688,39.98795071,0.54
Office,stressed,32.86,77.54,97.95146961,564.4319776,10.49
Park,walking,27.72,55.1,67.11191763,675.9042739,12.52
Outdoor Campus,walking,34.29,64.24,,857.9322326,6.89
Traffic,stressed,35.27,80.18,81.74037992,823.710594,6.92
Crowded place,stressed,36.06,56.47,76.30296822,710.2400373,4.24
Dining Room,eating,23.97,71.29,83.20601527,602.2045942,3.04
Bedroom,sleeping,26.5,56.15,28.5793699,24.03190503,-1.27
Crowded place,stressed,27.24,79.91,60.69096337,503.9636566,12.28
Cafe,studying,31.24,44.3,46.10253075,691.4939705,1.24
Dorm Room,sleeping,22.27,45.9,25.66764211,162.0459209,2.81
Dining Room,eating,32.7,66.21,67.98043695,415.4619792,6.3
Crowded place,stressed,36.4,90.09,74.44002517,554.4124912,1.44
Park,walking,32.89,61.18,111.625755,480.5654888,11.18
Study Room,studying,26.21,53.04,49.73686734,457.3950902,-0.4
Study Room,studying,27.42,53.29,33.50348196,596.0588081,0.08
Study Room,studying,29.11,64.77,46.50802965,357.4284792,-0.31
Library,studying,22.16,54.12,28.78776233,490.9553994,2.64
Study Room,studying,25.87,41.79,36.75354015,637.0434429,2.16
Outdoor Campus,walking,30.04,56.26,97.18442501,768.0606653,8.4
Library,studying,27.64,56.38,59.00851324,641.0375621,3.52
Crowded place,stressed,36.48,95.08,112.8031514,675.1942394,8.81
Street,walking,35.21,76.06,61.81266164,524.0381631,10.95
Cafeteria,eating,34.03,74.04,69.34044858,313.4656303,6.25
Dorm Room,sleeping,25.74,47.41,42.67571791,113.7231293,-0.3
Dining Room,eating,32.42,58.94,62.83683057,333.2747033,6.49
Library,studying,27.41,61.79,58.01408778,522.3980922,2.93
Meeting Room,stressed,33.96,68.77,86.0206055,804.955679,4.69
Traffic,stressed,30.58,90.61,102.654584,555.0442816,9.82
Office,stressed,33.58,60.13,95.85122328,689.1368293,8.72
Cafe,studying,23.96,51.59,60.06013225,593.5762481,4.38
Outdoor Campus,walking,28.71,69.44,103.4824065,766.9340863,7.74
Cafeteria,eating,32.74,71.4,81.28478497,339.1466264,6
Outdoor Campus,walking,27.46,67.03,46.82230158,512.0178492,7.28
Cafe,walking,34.54,66.58,65.44648262,901.4174549,6.13
Study Room,studying,24.71,54.79,47.33717922,454.4847607,1.21
Cafe,studying,25.01,47.45,56.44155261,615.7993481,2.81
Library,studying,24.84,60.99,30.60492442,327.912647,5.46
Dorm Room,sleeping,28.09,70.15,26.18387891,144.4733077,2.56
Study Room,studying,29.35,45.42,37.25202378,685.3840609,5.16
Office,stressed,27.91,77.64,101.484382,890.882605,4.44
Park,walking,31.34,80.22,86.65866823,732.1851312,9.15
Outdoor Campus,walking,29.49,74.03,98.7801813,677.2605994,9.38
Park,walking,36.08,78.52,83.29510132,561.6497263,9.13
Dorm Room,stressed,29.08,77.43,74.1176359,588.7364968,7.06
Park,walking,31.08,51.77,97.48882559,844.6782426,11.15
Study Room,studying,24.01,56.26,39.25715545,450.8290812,1.61
Bedroom,sleeping,25.04,74.94,36.85892569,133.095724,0.57
Meeting Room,stressed,28.7,,71.38499047,450.0764771,6.99
Street,walking,28.76,59.23,81.69077488,877.6911055,8.41
Study Room,studying,28.49,56.58,54.8881723,496.8295417,1
Crowded place,stressed,32.99,91.72,96.62555762,550.1555539,4.6
Dorm Room,sleeping,24.02,67.37,21.10549197,7.457570436,2.71
Cafe,studying,29.31,61.42,40.65953197,568.6663579,4.91
Cafe,eating,32.88,68.16,73.47967917,520.129497,0.68
Street,walking,31.87,82.17,63.38789103,671.7027881,6.36
Cafe,studying,26.24,61.39,48.8672965,349.6661675,2.47
Meeting Room,stressed,35.92,70.47,96.07979943,578.024947,9.18
Meeting Room,stressed,29.97,57.3,87.18046071,,10.72
Cafe,studying,32.78,56.98,38.3300242,372.5327637,4.61
Office,walking,31.15,58.16,74.22952015,829.9192312,4
Street,walking,28.16,82.73,67.39201494,407.5547907,7.38
Study Room,studying,25.38,63.14,35.076234,578.7877025,0.29
Park,walking,32.59,52.74,63.2511455,414.1882787,7.8
Traffic,stressed,34.3,57.25,97.3499482,660.5959104,9.85
Bedroom,sleeping,23.04,,41.1174926,,0.74
Bedroom,sleeping,23.6,64.27,30.08964152,-2.893543672,0.59
Park,walking,32.6,62.1,76.58990031,858.5276187,10.23
Outdoor Campus,walking,26.59,73.21,95.66922102,855.6448589,5.95
Library,studying,29.88,58.29,40.10356318,654.4832955,1.24
Crowded place,stressed,26.69,77.23,92.73644902,743.0207108,11.24
Park,walking,28.04,82.22,55.77611844,758.150238,9.97
Library,studying,23.5,62.98,54.08071602,569.7786642,4.52
Bedroom,sleeping,27.38,66.99,17.63662252,105.6289773,1.33
Bedroom,sleeping,23.53,71.02,26.68173719,-16.04722939,1.28
Study Room,studying,30.53,60.16,52.75922036,506.9964764,4.58
Street,walking,30.14,68.69,82.27313108,918.942338,9.62
Cafe,eating,24.41,42.47,59.00581533,336.6564566,3.16
Bedroom,sleeping,22.58,,29.42959183,75.12092601,0.66
Park,walking,33.49,58.19,71.06247783,931.8057499,8.5
Park,walking,35.01,78.55,,598.0684693,5.65
Bedroom,sleeping,24.89,72.42,22.32166224,121.4154762,0.37
Meeting Room,stressed,35.4,57.23,92.97802257,624.8674819,7.71
Cafe,studying,26.36,55.55,40.41107819,668.5917324,2.63
Office,stressed,30.88,94,75.57673159,583.0854105,2.79
Traffic,stressed,31.11,73.79,81.08253941,320.7236863,6.7
Crowded place,stressed,31.84,70.16,82.85988581,777.565073,6.52
Park,walking,31.58,78.2,92.28191493,490.4727486,4.9
Dining Room,eating,29.25,57.27,48.07527949,535.8920411,3.57
Dining Room,eating,30.68,55.26,77.99944503,427.9274522,3.95
Meeting Room,stressed,34.86,54.35,80.27063806,392.816199,7.3
Cafe,studying,26.14,45.74,44.41369816,313.0921753,4.7
Meeting Room,eating,33.89,,64.53010829,553.6078786,4.85
Street,walking,34.36,71.12,62.70455115,693.1804967,5.82
Dorm Room,sleeping,29.74,71.7,14.96664677,26.68624349,1.46
Crowded place,stressed,31.46,,91.68236795,829.0265769,4.34
Dorm Room,sleeping,25.41,57.2,29.64667327,137.7863401,3.09
Dorm Room,sleeping,26.46,63.92,15.45914972,,1.36
Cafe,eating,29.36,71.31,70.80448775,483.4340269,1.47
Study Room,studying,30.37,51.09,53.64612811,401.5404002,2.81
Bedroom,sleeping,25.1,58.22,24.60602793,146.9968458,2.13
Dorm Room,sleeping,21.81,53.49,35.38589966,159.3295168,-1.21
Library,studying,29.48,60.19,41.5025092,618.8130075,2.11
Dorm Room,sleeping,28.56,71.66,34.4332802,82.22070895,3.57
Park,walking,25.1,62.26,78.35205316,460.703239,5.1
Dorm Room,sleeping,25.06,51.98,25.89585949,82.89871592,1.15
Dorm Room,sleeping,24.8,64.44,28.06231506,158.4130755,4.4
Outdoor Campus,walking,27.14,79.45,59.95641727,450.0985903,8.36
Meeting Room,stressed,29.79,86.69,94.40767608,908.4462157,7.57
Office,stressed,32.53,73.07,79.95117332,866.2419969,8.76
Study Room,studying,28.86,50.74,25.02332845,585.9017966,2.98
Dining Room,eating,30.86,81.21,74.28247045,457.559294,4.8
Meeting Room,stressed,26.38,68.8,76.04239408,853.275002,4.31
Cafe,eating,29.23,67.89,61.50535251,304.0473392,6.91
Park,walking,32.39,62.29,55.81650557,471.9344066,8.19
Crowded place,stressed,34.55,80.88,76.87074423,,6.65
Cafe,studying,25.77,48.81,36.75789288,350.2375893,2.26
Study Room,studying,29.92,44.28,61.06262581,611.9248005,5.82
Outdoor Campus,walking,30.7,58.98,71.57986234,489.1082361,9.32
Library,studying,21.34,55.77,25.15549145,393.4879804,2.22
Dorm Room,studying,27.99,51.9,61.95711688,648.9842078,0.47
Cafe,eating,30.76,83.91,57.48326835,330.670099,2.61
Traffic,sleeping,21.19,,21.0005394,166.8798766,3.05
Library,studying,29.67,49,47.28220059,363.4859139,3.22
Park,walking,34.66,51.92,82.08805314,764.1965175,9.05
Street,stressed,33.52,94.15,82.5927336,,2.55
Meeting Room,stressed,31.91,74.74,73.34885263,711.1430655,5.97
Cafe,studying,25.53,62.89,67.19959601,319.8056671,2.23
Traffic,stressed,32.77,52.23,60.8702943,669.1489973,5.73
Outdoor Campus,walking,28.9,79.93,76.97627059,487.975548,7.01
Dorm Room,sleeping,27.55,,22.2646517,155.3223557,0.32
Meeting Room,stressed,33.08,66.65,101.1514144,905.4517893,5.4
Outdoor Campus,walking,29.66,79.81,74.81407534,926.0849436,6.44
Cafeteria,eating,32.41,83.12,70.34249898,577.8429369,2.64
Library,studying,30.04,,43.9286043,464.4277371,3.75
Meeting Room,stressed,32.45,,68.24836973,,6.22
Bedroom,sleeping,25.35,66.83,27.15022883,128.0679968,0.85
Cafe,studying,25.12,50.96,33.30230268,612.6443838,4.6
Outdoor Campus,walking,30.15,69.74,111.6620993,423.1836041,5.45
Traffic,stressed,29.48,89.21,77.36634069,927.4240405,5.29
Dorm Room,sleeping,22.71,67.38,26.90816677,170.8344848,-0.16
Crowded place,stressed,34.51,70.96,109.5221275,453.5625797,4.68
Study Room,walking,35.59,56.99,108.2412451,511.2051925,9.54
Library,studying,29.29,57.9,43.095281,572.4055188,4.48
Street,walking,35.51,73.43,58.37421168,679.1582735,6.82
Cafe,sleeping,25.43,74.69,11.57060055,173.3268088,4.96
Meeting Room,stressed,33.57,61.27,102.7190075,393.5997143,4.88
Dorm Room,sleeping,25.7,62.35,18.73024768,20.86886492,3.16
Bedroom,sleeping,22.44,66.88,16.80839767,84.95474121,2.76
Outdoor Campus,walking,28.33,58.78,77.71806625,727.8111463,8.92
Cafe,studying,27.18,58.66,48.60230066,452.9807336,6.13
Office,stressed,28.93,81.07,92.18519782,675.6137026,9.15
Crowded place,stressed,37.58,64.88,71.20384484,,4.04
Street,walking,29.46,59.71,67.27662527,744.9401546,8.04
Study Room,studying,24.53,44.68,45.14822912,592.4993768,3.45
Traffic,studying,22.92,44.41,59.05333916,588.4436522,3.56
Cafeteria,eating,29.71,58.34,76.95441044,331.9723824,5.46
Library,studying,31.24,47.16,40.99819845,705.5986479,3.23
Outdoor Campus,eating,28.73,83.04,52.26298143,349.6812381,0.44
Meeting Room,stressed,36.11,,73.91080954,455.6045814,5.03
Street,walking,33.09,79.18,47.13195594,912.9648246,11.68
Library,studying,25.74,56.12,42.09003747,388.5996306,0.23
Office,stressed,33.2,93.27,116.7712206,665.2563213,5.47
Cafe,studying,30.72,61.24,54.65043298,369.7769977,3.03
Bedroom,sleeping,27.58,74.59,39.19690591,82.37873446,1.93
Cafe,studying,30.29,43.66,23.79142223,398.383427,1.94
Cafe,sleeping,23.58,54.09,17.95197607,46.03513561,3.25
Street,walking,28.24,74.64,77.59012036,891.6770396,7.47
Park,walking,28.98,69.91,70.1222382,429.7577013,9.52
Cafeteria,eating,28.8,65.86,,327.3761386,6.79
Cafeteria,studying,29.37,46.28,64.79935909,270.8697185,2.59
Cafeteria,walking,35.28,53.78,69.05377883,918.0175473,9.56
Study Room,sleeping,24.38,60.74,38.67967292,110.5628049,2.34
Meeting Room,stressed,29.22,92.37,98.66765462,508.2197106,6.35
Dorm Room,sleeping,26.69,52.74,27.87979802,140.6775029,-0.38
Outdoor Campus,walking,24.86,73.01,53.49336735,524.3949765,9.85
Dorm Room,sleeping,22.36,69.7,28.63262025,85.22967584,2.77
Meeting Room,stressed,35.95,83.18,86.56205654,851.8388855,4.55
Study Room,studying,30.15,60.21,60.32793937,722.7836451,2.32
Cafeteria,eating,33.54,55.84,51.60835227,333.3319288,2.12
Meeting Room,stressed,28.12,,78.25009424,639.0980687,8.69
Bedroom,sleeping,23.89,46.37,34.90809826,55.70504755,1.24
Crowded place,stressed,36.68,91.52,68.84663103,587.9905434,9.43
Traffic,stressed,29.77,81.21,90.40691005,738.1506144,3.52
Cafeteria,eating,28.92,57.39,58.03331807,596.3332887,4.08
Dorm Room,sleeping,21.11,74.29,43.25043594,170.1074047,3.07
Meeting Room,stressed,34.35,84.2,103.9582912,625.6394152,3.77
Crowded place,stressed,30.65,60.54,91.2548892,620.8583,4.59
Cafe,studying,30.91,44.64,44.34083704,655.4149117,1.22
Outdoor Campus,walking,31.07,84.53,94.31651255,474.5068668,6.15
Bedroom,sleeping,25.67,71.38,19.54197031,,-0.22
Outdoor Campus,walking,30.5,69.12,73.807369,937.767425,9.31
Dorm Room,sleeping,28.45,54.19,40.25221303,86.81866855,-0.19
Study Room,studying,28.31,64.31,45.92233436,494.5567852,1.35
Cafe,eating,28.33,76.6,90.33159043,352.4574658,4.68
Cafe,studying,23.62,38.4,29.39627751,488.2883796,5.9
Cafe,studying,28.93,59.82,26.62951961,524.0981887,2.64
Traffic,stressed,34.9,95.57,74.67393905,,4.67
Dining Room,eating,25.72,51.12,66.68037742,380.7735198,4.38
Street,walking,35.62,55.77,95.87258707,627.6515002,5.87
Study Room,studying,29.97,41.78,51.55874409,494.4267656,3.29
Bedroom,sleeping,28.17,,34.81797643,164.6530742,2.99
Park,walking,30.26,65.39,67.62833779,780.1013765,9.86
Cafe,studying,24.96,62.36,49.86233404,408.7719546,2.38
Library,studying,30.85,56.38,40.65059735,682.0195751,1.79
Dining Room,eating,32.95,60.44,78.33804636,467.5211675,0.58
Dining Room,eating,32.18,55.49,53.38739993,459.9162114,4.7
Crowded place,studying,27.71,54.56,25.9489812,334.300688,1.43
Cafe,eating,31.12,67.08,54.3397251,373.4152101,5.4
Park,walking,34.13,88.23,,822.6608006,10.45
Park,walking,25.23,81.11,57.91954751,681.2532713,7.35
Crowded place,stressed,37.31,56.42,57.70401522,737.5024452,7.28
Office,stressed,30.13,,109.2635157,595.0706401,2.05
Crowded place,stressed,36.15,91.58,85.79743573,387.2928167,5.64
Bedroom,sleeping,31.01,57.09,40.29976131,52.22315424,3.14
Traffic,stressed,28.37,63.59,99.21341331,651.3053062,6.04
Bedroom,sleeping,23.28,48.1,29.3921468,140.0498753,0.56
Street,walking,28.3,74.86,83.40621219,542.0243027,6.71
Study Room,studying,22.9,,62.61564999,686.1838456,2.27
Crowded place,stressed,34.81,59.6,96.54981789,360.8738297,3.99
Library,studying,23.31,45.69,22.1326978,435.5116079,1.37
Study Room,studying,27.33,,44.73979257,328.7666723,3.86
Outdoor Campus,studying,26.85,63.8,26.13815385,493.4016728,3.17
Traffic,stressed,36.29,,101.1887659,747.7822652,7.8
Study Room,studying,24.65,45.14,64.40557239,639.9684091,2.34
Street,walking,34.66,77.08,61.65880973,680.3424393,9.78
Meeting Room,stressed,32.12,58.9,80.84903418,793.6899876,3.63
Bedroom,stressed,36.82,83.29,92.78431006,704.5388987,5.5
Street,walking,34.13,80.5,81.35273465,456.7437179,8.7
Outdoor Campus,walking,28.51,59.71,91.17895438,589.7558678,6.59
Office,stressed,35.1,84.79,66.0385639,623.3142182,3.85
Cafe,studying,26.16,51.79,56.99959383,680.3775915,0.52
Study Room,studying,29.6,38.08,33.18321874,263.0905912,1.86
Office,stressed,28.24,66.87,105.3730052,822.459649,4.15
Street,walking,30.55,51.62,61.81397651,910.0389213,5.83
Street,walking,27.5,73.87,74.55273847,808.3699879,6.59
Dining Room,eating,25.4,85.63,53.75246036,528.3803977,5.59
Cafe,studying,28.02,54.95,43.84120106,628.1077451,1.47
Bedroom,sleeping,27.18,59.41,26.42329583,69.32972633,0.45
Outdoor Campus,walking,27.72,56.27,74.63923434,619.9984036,9.64
Library,studying,26.62,61.51,41.26948257,549.8093893,1.88
Outdoor Campus,walking,33.26,61.94,66.77542602,578.0653142,10.48
Meeting Room,stressed,29.63,81.8,77.19514374,755.056741,9.64
Study Room,studying,25.38,55.12,44.84302077,298.0882721,1.54
Bedroom,sleeping,25.5,65.05,19.35441016,61.61996908,3.02
Crowded place,stressed,34.71,79.83,106.0889824,688.2408108,12.59
Meeting Room,stressed,36.98,92.66,74.26570445,388.3913321,6.72
Street,sleeping,26.36,73.18,28.70754559,3.79562427,1.63
Dining Room,eating,26.55,,50.93336815,474.8764183,6.75
Study Room,studying,23.04,55.97,32.33814752,300.5288835,3.25
Outdoor Campus,eating,29.19,64.7,93.62952975,373.7367976,5.97
Bedroom,sleeping,22.65,70.34,28.68025047,0.300038225,-0.26
Crowded place,stressed,37.66,71.06,82.53213193,740.3716893,5.87
Meeting Room,stressed,29.48,81.63,102.1899283,832.6056335,5.93
Street,walking,27.19,61.37,87.39880764,577.7383454,6.55
Park,walking,29.85,66.95,99.48442373,553.3110475,8.18
Dining Room,eating,30.43,86.52,68.1294189,274.6094038,2.86
Traffic,stressed,28.23,85.03,75.50643641,504.4052537,3.35
Cafe,eating,30.53,58.43,80.38733638,504.392786,3.79
Cafe,studying,25.01,45.75,35.253398,309.9680141,0.47
Cafe,eating,26.55,74.51,64.74614908,599.3382649,2.71
Cafe,studying,24.42,43.88,36.31421544,566.3483622,3.48
Dining Room,eating,32.49,53.15,61.47591414,341.2510071,3.61
Dorm Room,sleeping,23.82,53.04,33.70825963,77.3565111,3.48
Bedroom,sleeping,21.77,47.32,32.30977323,42.91844407,1.26
Office,stressed,33.33,75.3,66.55143892,399.3534364,8.37
Meeting Room,stressed,30.47,82.63,81.00822201,507.5295524,6.49
Traffic,stressed,33.55,61.58,96.67022196,350.8332635,4.22
Traffic,stressed,36.99,74.84,64.48417669,904.8334866,8.55
Study Room,studying,27.28,47.87,61.87040579,573.544205,1.59
Bedroom,sleeping,24.9,75.2,28.62508877,,2.3
Dorm Room,sleeping,21.46,47.59,26.8285094,170.8162795,-1.11
Cafe,eating,28.05,44.31,44.98442774,455.5960934,5.21
Dining Room,eating,26.4,64.01,91.13717915,272.0816229,4.84
Cafe,eating,25.42,48.78,66.84992006,524.7373155,4
Cafe,studying,25.35,61.11,65.49817981,682.8926676,4.01
Dining Room,eating,24.84,50.79,,366.3310838,-0.07
Meeting Room,stressed,33.59,64.88,107.3882593,696.7850527,5.78
Park,walking,36,55.66,85.43974383,774.5275798,6.54
Cafe,studying,25.41,58.71,34.60448635,526.2697139,3.22
Office,stressed,34.78,70.44,92.9513245,917.6141872,10.24
Study Room,studying,26.71,50.84,61.28110902,436.6471239,2.77
Meeting Room,stressed,31.79,78.51,59.86496759,742.0539527,4.96
Cafe,studying,24.9,57.89,36.16699763,537.6995087,3.82
Cafe,eating,23.96,49.86,52.41572918,550.810439,3.34
Traffic,stressed,37.33,71.04,99.55433233,662.8266593,5.58
Cafeteria,eating,27.89,56.44,75.48735491,338.3534906,6.37
Cafe,eating,30.24,69.54,62.50446329,612.0970081,4.62
Park,walking,26.63,57.15,84.21163462,767.0758871,8.41
Library,studying,27.06,40.34,26.29120108,533.1155899,1.3
Library,studying,30.04,56.67,60.51304169,669.6201125,3.6
Dorm Room,sleeping,22.17,,12.32027918,4.91155489,1.2
Office,stressed,33.45,61.63,65.71602267,585.2973255,8.86
Street,walking,24.14,82.02,69.19921661,403.1447518,6.46
Dorm Room,sleeping,26.57,64,32.64040225,44.90294434,1.57
Park,walking,26.56,76.9,76.35863209,688.2469709,8.79
Crowded place,stressed,32.59,69.11,96.30598265,648.6103362,6.12
Crowded place,stressed,34.11,77.24,102.1168915,617.9505143,2.3
Office,stressed,31.91,89.09,103.9177385,346.8149696,5.93
Study Room,studying,25.81,62.82,17.69750653,552.2809602,2.94
Dining Room,studying,25.88,63.3,33.97628115,427.6162946,1.1
Cafe,studying,30.19,50.21,36.37769697,594.6449665,2.15
Cafe,walking,33.92,62.1,66.42659584,684.3951173,3.07
Cafe,sleeping,28.28,55.42,19.33005741,178.2719414,1.43
Cafeteria,eating,26.18,62.17,61.99119978,498.7234351,5.18
Dorm Room,sleeping,29.12,60.98,23.8022855,41.31899006,0.71
Bedroom,sleeping,28.2,53.74,26.36433133,,1.59
Dining Room,eating,25.9,81.5,77.38923196,537.4976447,5.45
Crowded place,stressed,32.19,76.13,68.37817769,690.7164075,4.02
Office,stressed,33.46,,78.75933362,662.302048,4.07
Cafeteria,stressed,36.29,93.61,100.3702074,343.0190802,7.48
Park,walking,30.65,73.16,47.26260005,859.8628636,5.97
Cafeteria,eating,32.32,41.93,55.03912684,453.0935021,3.41
Bedroom,sleeping,24.8,62.86,33.37459951,16.54662262,2.43
Outdoor Campus,walking,33.32,79.22,78.44040543,898.5585281,7.39
Office,stressed,34.1,65.58,85.75861641,364.5190819,6.26
Traffic,stressed,28.82,85.04,83.24771012,656.0476526,10.75
Park,walking,29.35,,96.79558945,406.5444857,10.83
Bedroom,sleeping,25.15,61.49,31.39945802,18.16866495,2.54
Park,walking,35.09,76.64,52.36212141,775.8352715,8.45
Outdoor Campus,walking,25.93,52.5,65.48342802,869.0141475,6.16
Dorm Room,sleeping,26.02,68.41,19.51612617,91.55033363,1.2
Park,walking,33.4,80.27,54.82640488,495.1087941,7.37
Crowded place,stressed,35.21,,92.42279699,415.7183675,4.3
Bedroom,sleeping,23.12,73.9,17.74927282,73.38945308,3.81
Park,walking,26.8,,86.27711472,641.3560736,8.32
Cafeteria,eating,31.48,60.55,54.16245728,485.3542331,2.76
Bedroom,sleeping,25.8,60.68,27.75640048,7.039059764,-0.72
Cafe,studying,25.89,47.87,55.30752118,349.0271247,2.98
Bedroom,sleeping,24.07,69.39,32.65109408,,0.32
Library,walking,27.58,80.52,,856.3988929,11.84
Cafe,studying,26.96,,58.28387394,486.2608486,4.59
Study Room,studying,29.54,64.94,45.19001406,282.8916474,1.94
Dining Room,sleeping,30.51,52.08,41.4026852,,1.34
Crowded place,stressed,30.89,54.85,103.2634937,580.4575771,7.31
Dorm Room,sleeping,22.64,74.91,30.38670871,116.7513198,2.57
Study Room,studying,25.86,53.79,48.88768395,614.4741683,1.07
Outdoor Campus,stressed,33.03,59.4,91.77101277,609.530877,8.71
Dorm Room,studying,30.07,,42.01863468,427.7725366,1.61
Bedroom,sleeping,23.34,54.57,36.6224977,,2.26
Traffic,stressed,32.65,68.29,79.44436388,366.7539532,7.72
Outdoor Campus,sleeping,25.16,61.42,25.05695036,-7.527232969,4.01
Library,studying,28.76,,41.91165959,256.7877396,2.72
Meeting Room,stressed,29.07,77.09,98.56432163,617.4279831,2.68
Bedroom,sleeping,24.81,52.29,12.88705372,52.14866463,2.06
Cafeteria,eating,27.39,57.99,85.56085341,299.2188025,3.51
Cafe,studying,28.57,65.54,52.98683062,353.8544353,3.68
Traffic,stressed,31.78,65.73,87.21391202,353.6409165,2.78
Cafe,eating,26.01,,65.1421078,315.8465367,3.59
Bedroom,sleeping,27.76,63.37,14.65941143,106.7872651,-0.62
Dorm Room,sleeping,24.96,58.63,26.48152484,125.7994081,3.54
Cafe,studying,25.83,59.1,56.49702382,520.4271465,0.62
Bedroom,sleeping,23.02,72.93,37.06429255,127.6439442,3.5
Library,studying,27.72,58.46,45.38970586,425.5362822,3.19
Outdoor Campus,walking,33.8,63.46,101.4569653,783.821771,7.04
Dining Room,eating,33.35,81.97,52.78192671,543.185082,5.08
Dining Room,eating,32.92,80.8,,471.6742175,4.35
Street,walking,36.24,53.99,105.5328936,763.8336796,12.05
Cafeteria,eating,34.27,76.3,69.36868527,289.7069671,2.96
Office,stressed,32.07,89.47,79.07179259,752.0151316,6.47
Outdoor Campus,sleeping,25.75,59.66,18.56100076,104.0847449,-0.64
Cafeteria,eating,30.62,57.59,57.84749217,357.1908679,3.23
Office,stressed,27.8,83.95,74.5784026,440.6545504,5.57
Park,sleeping,22.68,73.93,18.48412698,98.18031178,0.34
Cafe,studying,23.65,53.64,32.16625531,507.7243412,1.47
Dining Room,eating,24.58,63.77,82.88931913,279.6185778,6.76
Meeting Room,stressed,30.72,63.46,74.00598783,589.5380929,5.27
Cafe,eating,27.28,86.42,64.61609435,651.1824665,5.35
Crowded place,stressed,30.31,57.62,76.70962263,614.5005873,7.45
